old_lib,old_name,new_lib:new_name
data-center-rdimm-ddr5-tester,1140084168,antmicroMemoryConnectorsPCCardSockets:MicroSD_1140084168
data-center-rdimm-ddr5-tester,61300311121,antmicroRectangularConnectorsHeadersMalePins:PinHeader_1x3_P2.54mm_Drill1.1mm
data-center-rdimm-ddr5-tester,685119134923,antmicroUSBDVIHDMIConnectors:HDMI_A_Female_685119134923
data-center-rdimm-ddr5-tester,1206L450SLWR,antmicroFuses:PTC_4.5A_1206
data-center-rdimm-ddr5-tester,ABM8G-12.000MHZ-18-D2Y-T,antmicroCrystals:Oscillator_SMD_12MHz_KX-7
data-center-rdimm-ddr5-tester,ABM8G-25.000MHZ-18-D2Y-T,antmicroCrystals:Oscillator_SMD_25MHz_KX-7
data-center-rdimm-ddr5-tester,ASFLMB-100.000MHZ-XY-T,antmicroOscillators:Oscillator_SMD_100MHz_ASFLMB
data-center-rdimm-ddr5-tester,B3U-1000P,antmicroTactileSwitches:SW_B3U-1000P
data-center-rdimm-ddr5-tester,BLM15AG601SN1D,antmicroFerriteBeadsandChips:FB_600Z_0.3A_0402
data-center-rdimm-ddr5-tester,BLM18AG601SN1D,antmicroFerriteBeadsandChips:FB_600Z_0.5A_0603
data-center-rdimm-ddr5-tester,BLM18PG121SN1D,antmicroFerriteBeadsandChips:FB_120Z_2A_0603
data-center-rdimm-ddr5-tester,BSS138APW,antmicroTransistorsFETsMOSFETsSingle:BSS138PW
data-center-rdimm-ddr5-tester,C_100n_0402_16V,antmicroCapacitorsmisc:C_100n_16V_0402
data-center-rdimm-ddr5-tester,C_100n_0402_6V3,antmicroCapacitorsmisc:C_100n_6V3_0402
data-center-rdimm-ddr5-tester,C_100n_0402_6V3-antmicroCapacitors0402,antmicroCapacitorsmisc:C_100n_6V3_0402
data-center-rdimm-ddr5-tester,DC_SOCKET,antmicroBarrelAudioConnectors:BarrelJack_3167288
data-center-rdimm-ddr5-tester,DDR504111002KQ,antmicroMemoryConnectorsPCCardSockets:Bus_DDR5_DDR504111002KQ
data-center-rdimm-ddr5-tester,EG1218,antmicroSlideSwitches:SW_EG1218
data-center-rdimm-ddr5-tester,FT4232HQ,antmicroInterfaceControllers:FT4232H_QFN
data-center-rdimm-ddr5-tester,KP-1608CGCK,antmicroLEDIndicationDiscrete:LED_G_0603_KP-1608CGCK
data-center-rdimm-ddr5-tester,PDS760-13,antmicroDiodesRectifiersSingle:PDS760
data-center-rdimm-ddr5-tester,PinHeader_2x4,antmicroRectangularConnectorsHeadersMalePins:PinHeader_2x4_P2.54mm_Drill1mm
data-center-rdimm-ddr5-tester,TCA39306DCUR,antmicroLogicTranslatorsLevelShifters:TCA39306_VSSOP
data-center-rdimm-ddr5-tester,TP_SMD1MM,antmicroTestPoints:TP_1mm_SMD
data-center-rdimm-ddr5-tester,TPD2E009,antmicroTVSDiodes:TPD2E009_SOT-9X3
data-center-rdimm-ddr5-tester,TPD6E05U06,antmicroTVSDiodes:TPD6E05U06RVZR
data-center-rdimm-ddr5-tester,TPS54561,antmicroPMICVoltageRegulatorsLinear:TPS54561QDPRRQ1
data-center-rdimm-ddr5-tester,WE_629105150521,antmicroUSBDVIHDMIConnectors:USB_Micro_B_Female-WE_629105150521
data-center-rdimm-ddr5-tester,WE_7447798720,antmicroFixedInductors:7447798720
data-center-rdimm-ddr5-tester,WE-RJ45_7499111121A,antmicroModularConnectorsJacksWithMagnetics:Bus_RJ45_7499111121A
